Barrels 31 gallons,Number of Breweries,Total Barrels ,Taxable Removals ,Total Shipped
"6,000,001 Barrels and Over",15,136122437.4,124274009.9,4949737.19
"2,000,000 to 6,000,000 Barrels",6,23939648.17,23001189.23,731500.8
"1,000,001 to 1,999,999 Barrels",4,4997347.64,4983601.48,50188.48
"500,001 to 1,000,000 Barrels",7,5050717.11,4821272.06,16414.1
"100,001 to 500,000 Barrels",49,10645528.1,8697815.57,336057.52
"60,001 to 100,000 Barrels",24,1887855.83,1583089.18,23158.65
"30,001 to 60,000 Barrels",56,2453623.13,2185447.02,29356.22
"15,001 to 30,000 Barrels",71,1509411.47,1294031.85,40755.39
"7,501 to 15,000 Barrels",133,1427754.07,1203851.81,25574.94
"1,001 to 7,500 Barrels",851,2242859.09,1978577.42,6661.33
"1 to 1,000 Barrels ",2812,835835.99,733307.88,1892.46
Total,4504,191113018,174844004.6,6211297.08
