STATE,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
AK,2067.69,2263.65,1929.15,2251.02,2312.43,2155.6,2114.97,4511.48,13315.93,15974.1,30620.23,32849.37
AL,723.53,238.6,161.24,0,46.5,130.55,226.25,6109.99,23810.78,29160.56,41718.66,47160.08
AR,1328.35,1279.34,1331.85,1124.98,1265.93,558.14,657.12,1609.38,6091.89,13441.2,25150.46,16568.73
AZ,14857.81,15640.69,16800.24,19897.83,19165.96,18763.52,17173,29869.1,41613.95,45424.11,47009.71,49699.26
CA,61172.74,54504.99,58276.38,65069.7,64239.95,60559.56,65035.4,124974.7,201066.01,293554.62,359636.06,399692.97
CO,48528.59,49895.79,50584.87,60811.37,57966.73,60133.43,72839.26,121814.79,141312.55,163026.9,176577.49,175934.31
CT,2205.67,2075.57,1988.38,2530.8,1876.05,1770.05,1447.6,13218.19,10705.61,21767.05,26871.86,34422.9
DC,2957.74,2948.61,3574.26,1676.54,1572.75,2250.9,4504.3,7207.31,8969.72,11096.42,10027.41,16347.97
DE,2005.33,2205.38,2308.99,2541.38,2718.28,2868.28,2771.7,5865.02,7647.56,9254.17,13816.8,14478.8
FL,7078.61,6426.66,7554.46,6761.68,6817.8,6440.29,6585.28,38265.32,88092.72,122617.24,138723.04,182784.12
GA,3751.97,3038.61,4165.69,4248.35,3480.3,4647.37,4432.32,17920.74,30539.97,51488.76,51856.22,55631.8
HI,1875.2,1578.85,1680.25,1886.65,2084.01,1972.63,1380.6,4131.2,5623.03,8503.95,12037.94,11721.24
IA,6817.26,6487.26,6597.31,6808.03,6515.51,6003.19,5676.54,17866.34,29975.6,49090.14,74918.83,61429.37
ID,3385.1,3195.88,4089.04,5305.86,5376.69,4675.48,4573.66,13809.09,7812.7,9438.59,12906.99,13178.42
IL,17941.55,17090.05,20051.7,22028.03,23229.73,26271.03,91311.09,46217.44,72776.5,104165.94,134257.55,118482.59
IN,8775.27,9190.01,10589.68,11063.82,13120.19,13119.35,16356.6,32880.57,36829.47,42795.43,49318.85,55688.14
KS,7386.89,6970.03,7579.85,8113.96,7821.78,7415.82,7461.26,6624.1,9095.51,11772.39,12510.22,14480.41
KY,5205.78,5672.58,5289.92,4597.34,4949.54,6460.08,6234.52,7183.35,16546.76,27147.95,27648.33,24404.79
LA,1421.57,1513.57,1775.2,1535.77,1606.1,1723.51,1579.1,6238.54,9478.39,16448.69,24619.93,55422.57
MA,10612.91,11547.2,12231.98,10142.24,10298.65,12570.98,10352.16,18915.57,78787.14,85176.38,57305.4,81860.44
MD,6787.24,7577.58,7525.49,7559.49,6958.28,7771.25,7534.65,17339.14,23190.15,28127.45,30431.62,33126.14
ME,5094.65,5528.07,6978.09,6717.44,7404.9,7960.51,7501.97,14981.92,27827.95,36717.92,49649.08,46942.61
MI,21484.83,22590.99,23176.79,23766.64,25243.93,28431.97,31218.34,55195.44,100487.69,126317.83,126231.72,131484.72
MN,8568.38,7928.92,8360.51,9205.09,11376.94,11984.66,12425.12,35484.79,50565.24,61178.19,85052.12,96830.69
MO,14793.83,13213.42,13289.38,14315.99,14047.28,12949.37,13379.38,18369.1,27933.48,28606.86,31234.65,34057.43
MS,,5.81,12.58,3.23,40.12,0,0,6197.57,6899.51,8898.59,10462.16,11912.45
MT,1039.61,1827.57,2944.97,3806.3,4375.87,4373.97,5997.94,25759.63,30906.36,35410.18,40821.3,48182.05
NC,14561.53,14406.8,20184.07,20768.59,17604.53,21871.66,19005.47,52073.41,106408.5,122669.87,181068.92,222608.55
ND,648.33,626.62,731.62,772.39,817.7,1374.55,1346.63,2322.25,2809.64,5287.38,6723.49,10218.59
NE,3927.23,5007.46,5392.27,6111.78,5596.83,6392.8,3651.12,6340.13,9731.87,16999.38,23984.61,25822.41
NH,4543.38,4645.59,5272.03,5912.51,6262.36,6077.87,6006.92,8634.11,16905.67,27295.21,38366.97,50049.94
NJ,4958.4,4944.87,5642.15,5500.47,5385.1,5535.97,5907.92,19453.22,35059.6,51339.57,59781.77,81325.78
NM,7263.27,8925.99,12544.54,13349.8,13875.29,13652.7,13396.75,14181.52,14793.89,18654.17,21234.68,25948.46
NV,15454.08,14003.16,15618.93,15819.59,15331.77,14612.82,16234.04,21635.99,17457.76,14372.05,16923.86,21115.35
NY,12354.42,12034.5,11614.3,14572,18110.04,24800.93,38325.34,44491.79,57825.54,78958.19,112324.25,150616.79
OH,8070.58,7718.23,8426,9229.08,11293.61,11632.86,12905.42,30296.19,50547.69,79394.13,99966.84,132029.68
OK,3115.11,2621.87,2580.03,2354.06,2198.78,2381.47,2459.74,9930.51,9525.21,10922.26,16905.78,21128.75
OR,20091.2,23391.44,27650,32250.56,34755.42,37006.39,33472.7,88028.35,110352.94,131075.08,121831.69,122000.26
PA,20690.29,24100.19,26916.15,32025.24,33773.09,31943.35,30228.3,44275.02,55589.65,69737.43,78428.55,89591.8
RI,940.31,692.41,788.29,901.31,716.47,830.8,987.13,961.74,5280.88,6891.13,15674.07,24270.72
SC,3250.91,2901.18,3091.56,3037.92,2904.66,2711.72,3131.64,11328.32,30163.3,30800.78,38081.25,53161.06
SD,879.82,860.25,1186.62,824.63,773.45,909.14,1336.27,1731.45,3217.49,6582.66,8928.3,9386.07
TN,12092.4,11977.06,13633.63,9702.23,10103.13,9965.75,9220.38,18757.66,35673.47,39494.25,57029.15,59753.64
TX,9670.24,9814.02,10556.49,10299.17,8503.31,9242.6,9471.81,62757.74,101466.52,143879.86,162547.36,196218.38
UT,6446.05,5941.77,5226.6,5238.62,4595.18,3953.1,5875.72,4302.44,6283.83,8391.41,10153.87,19578.59
VA,11976.19,12379.87,12732.37,12098.41,10414.51,12450.88,12352.47,36003.33,68666.78,114900.37,118672.93,163800.67
VT,3486.81,3587.06,3661.94,3263.23,2216.5,2563.85,2692.34,10792.93,13299.51,20568.82,19980.23,23530.86
WA,17195.23,17651.64,19965.32,18205.29,17362.29,17770.87,18066.36,45357.11,78538.88,97744.72,121733.57,144277.95
WI,14919.93,14700.4,16669.97,19882.13,18853.61,19250.29,17885.54,34649.49,55487.79,68905.03,71830.22,74567.2
WV,608.65,78,7.16,0,14.85,422.15,420.5,3653.33,6766.41,8218.02,7252.5,8301.94
WY,2135.61,2518.9,2681.61,3178.55,3528.21,3544.63,3133.63,5403.2,14370.22,27214.46,15298.08,12462.54
