,Year,Regional,Micro Brewery,Taproom,Brewpub,Contract
0,2005,4059412,708014,0,672219,854155
1,2006,4419523,846807,0,699554,1132807
2,2007,4909595,968736,0,718734,1380738
3,2008,5627520,906955,0,696952,1252232
4,2009,7129471,947851,0,705303,282004
5,2010,8034796,1141118,0,727427,230636
6,2011,9041364,1432034,0,811661,182278
7,2012,10237632,1905212,0,870371,222702
8,2013,11973628,2377107,0,977905,176210
9,2014,17412333,3161365,0,1167164,257517
10,2015,18841448,3946399,0,1184252,210362
11,2016,17883085,4865341,0,1309909,244214
12,2017,17744740,5508641,0,1446982,258197
13,2018,17751883,5913143,0,1505001,287402
14,2019,17918642,4888669,1615881,1617768,306957
