States,# Breweries,Breweries Per Capita,Barrels
Alabama,51,1.4,84013
Alaska,45,8.8,202797
Arizona,127,2.4,194345
Arkansas,42,1.9,46272
California,907,3.1,3664080
Colorado,425,10,1529613
Connecticut,104,3.9,236444
Delaware,27,3.7,317328
District of Columbia,12,2.2,35857
Florida,329,2,1401142
Georgia,111,1.5,514414
Hawaii,24,2.3,85256
Idaho,73,5.8,91819
Illinois,284,3,421809
Indiana,192,3.9,266443
Iowa,105,4.6,141942
Kansas,59,2.9,45846
Kentucky,69,2.1,130940
Louisiana,40,1.2,237721
Maine,133,12.7,361705
Maryland,112,2.5,301966
Massachusetts,175,3.3,638231
Michigan,400,5.4,903153
Minnesota,196,4.7,644655
Mississippi,14,0.7,25257
Missouri,140,3.1,363383
Montana,92,11.5,218547
Nebraska,55,4,54892
Nevada,45,2,87469
New Hampshire,91,8.7,117314
New Jersey,127,1.9,171097
New Mexico,94,6.2,144530
New York,423,2.9,1347435
North Carolina,333,4.3,1296320
North Dakota,22,4,21225
Ohio,311,3.6,1334762
Oklahoma,55,1.9,79747
Oregon,311,9.7,1012854
Pennsylvania,401,4.1,3606444
Rhode Island,33,4.1,65140
South Carolina,88,2.3,109987
South Dakota,33,5.2,20843
Tennessee,108,2.1,194669
Texas,341,1.7,1180393
Utah,42,2,174323
Vermont,68,14.2,345590
Virginia,290,4.6,344972
Washington,423,7.5,583956
West Virginia,28,2,22964
Wisconsin,205,4.7,883648
Wyoming,41,9.8,56403
